DrugA,DrugB,tanimoto,feature_jsim,feature_dsim,feature_osim
ACETYLCARNITINE,GADOPICLENOL,0.102941176,0,0,0
ACETYLCARNITINE,GRANISETRON,0.112903226,0,0,0
ACETYLCARNITINE,GUANIDINE,0.066666667,0.066666667,0.125,0.188982237
ACETYLCARNITINE,HALOFANTRINE,0.056338028,0,0,0
ACETYLCARNITINE,HOMATROPINE,0.12962963,0,0,0
ACETYLCARNITINE,IBANDRONATE,0.08,0,0,0
ACETYLCARNITINE,IOBENGUANE,0.04,0,0,0
ACETYLCARNITINE,IOBITRIDOL,0.105263158,0,0,0
ACETYLCARNITINE,IOXILAN,0.112903226,0,0,0
ACETYLCARNITINE,IMIDUREA,0.076923077,0,0,0
ACETYLCARNITINE,IVERMECTIN,0.059322034,0,0,0
ACETYLCARNITINE,ISOPROPYL MYRISTATE,0.195121951,0,0,0
ACETYLCARNITINE,KAVA,0.047619048,0,0,0
ACETYLCARNITINE,LINAGLIPTIN,0.045454545,0,0,0
ACETYLCARNITINE,LIGHT GREEN SF YELLOWISH,0.08,0,0,0
ACETYLCARNITINE,LIFITEGRAST,0.076086957,0,0,0
ACETYLCARNITINE,LURASIDONE,0.04,0,0,0
ACETYLCARNITINE,LUMEFANTRINE,0.057971014,0,0,0
ACETYLCARNITINE,LUSUTROMBOPAG,0.112359551,0,0,0
ACETYLCARNITINE,MAZINDOL,0.016129032,0,0,0
ACETYLCARNITINE,MAFENIDE,0.095238095,0,0,0
ACETYLCARNITINE,MELOXICAM,0.060606061,0,0,0
ACETYLCARNITINE,MERADIMATE,0.1,0,0,0
ACETYLCARNITINE,METHOCARBAMOL,0.14,0,0,0
ACETYLCARNITINE,METFORMIN,0.075,0,0,0
ACETYLCARNITINE,METARAMINOL,0.0625,0,0,0
ACETYLCARNITINE,METAXALONE,0.092592593,0,0,0
ACETYLCARNITINE,METHYL AMINOLEVULINATE,0.15,0,0,0
ACETYLCARNITINE,MIZOLASTINE,0.051948052,0,0,0
ACETYLCARNITINE,MINOCYCLINE,0.050632911,0,0,0
ACETYLCARNITINE,MORPHINE,0.028985507,0,0,0
ACETYLCARNITINE,MYCOPHENOLIC ACID,0.142857143,0,0,0
ACETYLCARNITINE,NABILONE,0.068493151,0,0,0
ACETYLCARNITINE,NALOXONE,0.054054054,0,0,0
ACETYLCARNITINE,NAFARELIN,0.044776119,0,0,0
ACETYLCARNITINE,NELARABINE,0.060606061,0,0,0
ACETYLCARNITINE,NIACIN,0.068181818,0.071428571,0.133333333,0.196116135
ACETYLCARNITINE,NORGESTIMATE,0.108108108,0,0,0
ACETYLCARNITINE,NORFLURANE,0.0625,0,0,0
ACETYLCARNITINE,OUABAIN,0.066666667,0,0,0
ACETYLCARNITINE,OMIDENEPAG ISOPROPYL,0.12345679,0,0,0
ACETYLCARNITINE,OLMESARTAN,0.076923077,0,0,0
ACETYLCARNITINE,OTESECONAZOLE,0.078947368,0,0,0
ACETYLCARNITINE,OXYMETAZOLINE,0.066666667,0,0,0
ACETYLCARNITINE,OXITRIPTAN,0.089285714,0,0,0
ACETYLCARNITINE,PALONOSETRON,0.015151515,0,0,0
ACETYLCARNITINE,PADIMATE O,0.125,0,0,0
ACETYLCARNITINE,PANCURONIUM,0.1,0,0,0
ACETYLCARNITINE,PARTHENOLIDE,0.030769231,0,0,0
ACETYLCARNITINE,PEXIDARTINIB,0.056338028,0,0,0
ACETYLCARNITINE,PHENINDAMINE,0.034482759,0,0,0
ACETYLCARNITINE,PIMECROLIMUS,0.078431373,0,0,0
ACETYLCARNITINE,PINDOLOL,0.083333333,0,0,0
ACETYLCARNITINE,PILOCARPINE,0.050847458,0,0,0
ACETYLCARNITINE,PIRENZEPINE,0.071428571,0,0,0
ACETYLCARNITINE,PIRBUTEROL,0.071428571,0,0,0
ACETYLCARNITINE,POTASSIUM CATION,0,0,0,0
ACETYLCARNITINE,PRAMIPEXOLE,0.033898305,0,0,0
ACETYLCARNITINE,PRILOCAINE,0.113207547,0,0,0
ACETYLCARNITINE,PRIMAQUINE,0.061538462,0,0,0
ACETYLCARNITINE,PROPYL ALCOHOL,0.096774194,0,0,0
ACETYLCARNITINE,PREDNISOLONE PHOSPHATE,0.108108108,0,0,0
ACETYLCARNITINE,PRAZIQUANTEL,0.046153846,0,0,0
ACETYLCARNITINE,PSEUDOEPHEDRINE,0.066666667,0,0,0
ACETYLCARNITINE,REPOTRECTINIB,0.051948052,0,0,0
ACETYLCARNITINE,RIFAXIMIN,0.08411215,0,0,0
ACETYLCARNITINE,RIMEXOLONE,0.101449275,0,0,0
ACETYLCARNITINE,RITODRINE,0.076923077,0,0,0
ACETYLCARNITINE,RAMELTEON,0.09375,0,0,0
ACETYLCARNITINE,SELENIUM SULFIDE,0,0,0,0
ACETYLCARNITINE,SEMAGLUTIDE,0.05625,0,0,0
ACETYLCARNITINE,SETMELANOTIDE,0.069565217,0,0,0
ACETYLCARNITINE,SITAGLIPTIN,0.101449275,0,0,0
ACETYLCARNITINE,SODIUM LAURYL SULFOACETATE,0.14893617,0,0,0
ACETYLCARNITINE,SUCCINYLCHOLINE,0.25,0,0,0
ACETYLCARNITINE,TADALAFIL,0.038961039,0,0,0
ACETYLCARNITINE,TIBOLONE,0.074626866,0,0,0
ACETYLCARNITINE,TECHNETIUM TC-99M PYROPHOSPHATE,0.088235294,0,0,0
ACETYLCARNITINE,TENOFOVIR DISOPROXIL,0.130434783,0,0,0
ACETYLCARNITINE,TEMAZEPAM,0.047619048,0,0,0
ACETYLCARNITINE,TESTOSTERONE UNDECANOATE,0.081081081,0,0,0
ACETYLCARNITINE,THIOTEPA,0.027777778,0,0,0
ACETYLCARNITINE,TIROFIBAN,0.095890411,0,0,0
ACETYLCARNITINE,TOLCAPONE,0.156862745,0,0,0
ACETYLCARNITINE,TRIMIPRAMINE,0.075471698,0,0,0
ACETYLCARNITINE,TROLEANDOMYCIN,0.081395349,0,0,0
ACETYLCARNITINE,TYROPANOIC ACID,0.101694915,0,0,0
ACETYLCARNITINE,VADADUSTAT,0.083333333,0,0,0
ACETYLCARNITINE,VALACICLOVIR,0.106060606,0,0,0
ACETYLCARNITINE,VALINE,0.138888889,0,0,0
ACETYLCARNITINE,VINFLUNINE,0.068965517,0,0,0
ACETYLCARNITINE,VOCLOSPORIN,0.076086957,0,0,0
ACETYLCARNITINE,XYLOSE,0.1,0,0,0
ACETYLCARNITINE,ZINC SULFATE,0.064516129,0,0,0
ACETYLCARNITINE,ZOTEPINE,0.047619048,0,0,0
ACETYLCARNITINE,ZUCAPSAICIN,0.111111111,0,0,0
ACETYLCYSTEINE,ACETYLCARNITINE,0.175,0,0,0
ACETYLCYSTEINE,ACETYLCYSTEINE,1,1,1,1
ACETYLCYSTEINE,ALIMEMAZINE,0.083333333,0,0,0
ACETYLCYSTEINE,ALLANTOIN,0.097560976,0,0,0
ACETYLCYSTEINE,ALMASILATE,0,0,0,0
ACETYLCYSTEINE,ALUMINUM HYDROXIDE,0,0,0,0
ACETYLCYSTEINE,AMISULPRIDE,0.090909091,0,0,0
ACETYLCYSTEINE,AMPICILLIN,0.137931034,0.038461538,0.074074074,0.074124932
ACETYLCYSTEINE,ARMODAFINIL,0.146341463,0,0,0
ACETYLCYSTEINE,ARTEMOTIL,0.033898305,0,0,0
ACETYLCYSTEINE,ATOGEPANT,0.076923077,0.095238095,0.173913043,0.178174161
ACETYLCYSTEINE,ATORVASTATIN,0.15625,0.052631579,0.1,0.104828484
ACETYLCYSTEINE,AVOBENZONE,0.139534884,0,0,0
ACETYLCYSTEINE,BENDAMUSTINE,0.1,0,0,0
ACETYLCYSTEINE,BETHANIDINE,0.119047619,0,0,0
ACETYLCYSTEINE,BIOTIN,0.12244898,0,0,0
ACETYLCYSTEINE,BISPHENOL A DIGLYCIDYL ETHER,0.042553191,0,0,0
ACETYLCYSTEINE,BINIMETINIB,0.083333333,0.047619048,0.090909091,0.094491118
ACETYLCYSTEINE,BOSENTAN,0.082191781,0,0,0
ACETYLCYSTEINE,BREXANOLONE,0.096153846,0,0,0
ACETYLCYSTEINE,BRILLIANT BLUE G,0.065217391,0,0,0
ACETYLCYSTEINE,BROMAZEPAM,0.033898305,0,0,0
ACETYLCYSTEINE,BUTABARBITAL,0.1,0.019607843,0.038461538,0.043355498
ACETYLCYSTEINE,CABAZITAXEL,0.086538462,0.083333333,0.153846154,0.15430335
ACETYLCYSTEINE,CALCIUM LACTATE,0.172413793,0,0,0
ACETYLCYSTEINE,CARBAMAZEPINE,0.1,0,0,0
ACETYLCYSTEINE,CARBAMIDE PEROXIDE,0.166666667,0,0,0
ACETYLCYSTEINE,CARPROFEN,0.14,0.0625,0.117647059,0.15430335
ACETYLCYSTEINE,CEFAZOLIN,0.105263158,0.076923077,0.142857143,0.142857143
ACETYLCYSTEINE,CEFMETAZOLE,0.1,0.045454545,0.086956522,0.089087081
ACETYLCYSTEINE,CEFTAZIDIME,0.093023256,0.105263158,0.19047619,0.202030509
ACETYLCYSTEINE,CEFPODOXIME,0.106666667,0,0,0
ACETYLCYSTEINE,CHLORMERODRIN,0.166666667,0,0,0
ACETYLCYSTEINE,CHLOROXYLENOL,0.057142857,0,0,0
ACETYLCYSTEINE,CHLORPHENESIN CARBAMATE,0.108695652,0,0,0
ACETYLCYSTEINE,CHROMIUM CR-51,0,0,0,0
ACETYLCYSTEINE,CHROMIUM PICOLINATE,0.075,0,0,0
ACETYLCYSTEINE,CIPROFIBRATE,0.104166667,0,0,0
ACETYLCYSTEINE,CLASCOTERONE,0.073529412,0,0,0
ACETYLCYSTEINE,CLAVULANIC ACID,0.125,0,0,0
ACETYLCYSTEINE,CLIDINIUM,0.113207547,0,0,0
ACETYLCYSTEINE,CISATRACURIUM,0.074626866,0,0,0
ACETYLCYSTEINE,COCARBOXYLASE,0.104477612,0,0,0
ACETYLCYSTEINE,CYCLOPHOSPHAMIDE,0.043478261,0,0,0
ACETYLCYSTEINE,CYPROTERONE ACETATE,0.073529412,0,0,0
ACETYLCYSTEINE,DAPSONE,0.027777778,0,0,0
ACETYLCYSTEINE,DAPTOMYCIN,0.088709677,0.05,0.095238095,0.101015254
ACETYLCYSTEINE,DEXBROMPHENIRAMINE,0.076923077,0,0,0
ACETYLCYSTEINE,DEXPANTHENOL,0.179487179,0,0,0
ACETYLCYSTEINE,DIAZOXIDE,0.040816327,0.047619048,0.090909091,0.094491118
ACETYLCYSTEINE,DIETHYLTOLUAMIDE,0.11627907,0,0,0
ACETYLCYSTEINE,DIMAZOLE,0.052631579,0,0,0
ACETYLCYSTEINE,DIMERCAPROL,0.214285714,0,0,0
ACETYLCYSTEINE,DIMETOTIAZINE,0.084745763,0,0,0
ACETYLCYSTEINE,DIMENHYDRINATE,0.075757576,0,0,0
ACETYLCYSTEINE,DIIODOHYDROXYQUINOLINE,0.044444444,0,0,0
ACETYLCYSTEINE,DL-ALPHA-TOCOPHEROL,0.068965517,0,0,0
ACETYLCYSTEINE,DOMIPHEN,0.0625,0,0,0
ACETYLCYSTEINE,DOSULEPIN,0.055555556,0,0,0
ACETYLCYSTEINE,DOPAMINE,0.05,0,0,0
ACETYLCYSTEINE,DROXIDOPA,0.170731707,0,0,0
ACETYLCYSTEINE,ENOXACIN,0.096774194,0,0,0
ACETYLCYSTEINE,EMPAGLIFLOZIN,0.041666667,0.043478261,0.083333333,0.084515425
ACETYLCYSTEINE,EPICRIPTINE,0.095744681,0,0,0
ACETYLCYSTEINE,ERIBULIN,0.053763441,0,0,0
ACETYLCYSTEINE,ESTRADIOL BENZOATE,0.074626866,0.040816327,0.078431373,0.087874955
ACETYLCYSTEINE,ETHCHLORVYNOL,0.075,0,0,0
ACETYLCYSTEINE,ETHYNODIOL DIACETATE,0.074626866,0,0,0
ACETYLCYSTEINE,FELBAMATE,0.153846154,0.111111111,0.2,0.21821789
ACETYLCYSTEINE,FELODIPINE,0.12962963,0,0,0
ACETYLCYSTEINE,FESOTERODINE,0.118644068,0,0,0
ACETYLCYSTEINE,FIDAXOMICIN,0.049180328,0,0,0
ACETYLCYSTEINE,FLUORIDE ION F-18,0,0,0,0
ACETYLCYSTEINE,FLUTAMIDE,0.115384615,0,0,0
ACETYLCYSTEINE,FLUTICASONE,0.068493151,0.038461538,0.074074074,0.074124932
ACETYLCYSTEINE,FLOCTAFENINE,0.106060606,0,0,0
ACETYLCYSTEINE,FORMALDEHYDE,0.043478261,0,0,0
ACETYLCYSTEINE,FOSDENOPTERIN,0.043478261,0.058823529,0.111111111,0.133630621
ACETYLCYSTEINE,FOSTAMATINIB,0.058823529,0.003095975,0.00617284,0.015179419
ACETYLCYSTEINE,GANAXOLONE,0.094339623,0,0,0
ACETYLCYSTEINE,GADOTERIC ACID,0.135135135,0,0,0
ACETYLCYSTEINE,GADOTERIDOL,0.146341463,0,0,0
ACETYLCYSTEINE,GADOPICLENOL,0.09375,0,0,0
ACETYLCYSTEINE,GRANISETRON,0.122807018,0,0,0
ACETYLCYSTEINE,GUANIDINE,0.08,0,0,0
ACETYLCYSTEINE,HALOFANTRINE,0.060606061,0,0,0
ACETYLCYSTEINE,HOMATROPINE,0.12,0,0,0
ACETYLCYSTEINE,IBANDRONATE,0.088888889,0,0,0
ACETYLCYSTEINE,IOBENGUANE,0.044444444,0,0,0
ACETYLCYSTEINE,IOBITRIDOL,0.137254902,0,0,0
ACETYLCYSTEINE,IOXILAN,0.142857143,0,0,0
ACETYLCYSTEINE,IMIDUREA,0.108695652,0,0,0
ACETYLCYSTEINE,IVERMECTIN,0.052631579,0.045454545,0.086956522,0.089087081
ACETYLCYSTEINE,ISOPROPYL MYRISTATE,0.157894737,0,0,0
ACETYLCYSTEINE,KAVA,0.051724138,0,0,0
ACETYLCYSTEINE,LINAGLIPTIN,0.048192771,0,0,0
ACETYLCYSTEINE,LIGHT GREEN SF YELLOWISH,0.070422535,0,0,0
ACETYLCYSTEINE,LIFITEGRAST,0.146341463,0,0,0
ACETYLCYSTEINE,LURASIDONE,0.057971014,0,0,0
ACETYLCYSTEINE,LUMEFANTRINE,0.0625,0,0,0
ACETYLCYSTEINE,LUSUTROMBOPAG,0.13253012,0,0,0
ACETYLCYSTEINE,MAZINDOL,0.035714286,0,0,0
ACETYLCYSTEINE,MAFENIDE,0.051282051,0,0,0
ACETYLCYSTEINE,MELOXICAM,0.120689655,0.047619048,0.090909091,0.094491118
ACETYLCYSTEINE,MERADIMATE,0.109090909,0,0,0
ACETYLCYSTEINE,METHOCARBAMOL,0.130434783,0,0,0
ACETYLCYSTEINE,METFORMIN,0.117647059,0,0,0
ACETYLCYSTEINE,METARAMINOL,0.069767442,0,0,0
ACETYLCYSTEINE,METAXALONE,0.058823529,0,0,0
ACETYLCYSTEINE,METHYL AMINOLEVULINATE,0.171428571,0,0,0
ACETYLCYSTEINE,MIZOLASTINE,0.055555556,0,0,0
ACETYLCYSTEINE,MINOCYCLINE,0.068493151,0.025,0.048780488,0.05143445
ACETYLCYSTEINE,MORPHINE,0.03125,0.037037037,0.071428571,0.071428571
ACETYLCYSTEINE,MYCOPHENOLIC ACID,0.116666667,0.038461538,0.074074074,0.074124932
ACETYLCYSTEINE,NABILONE,0.057971014,0,0,0
ACETYLCYSTEINE,NALOXONE,0.073529412,0.037037037,0.071428571,0.071428571
ACETYLCYSTEINE,NAFARELIN,0.071428571,0,0,0
ACETYLCYSTEINE,NELARABINE,0.083333333,0,0,0
ACETYLCYSTEINE,NIACIN,0.105263158,0,0,0
ACETYLCYSTEINE,NORGESTIMATE,0.084507042,0.041666667,0.08,0.080582296
ACETYLCYSTEINE,NORFLURANE,0.035714286,0,0,0
ACETYLCYSTEINE,OUABAIN,0.058139535,0.045454545,0.086956522,0.089087081
ACETYLCYSTEINE,OMIDENEPAG ISOPROPYL,0.088607595,0,0,0
ACETYLCYSTEINE,OLMESARTAN,0.082191781,0.055555556,0.105263158,0.119522861
ACETYLCYSTEINE,OTESECONAZOLE,0.026666667,0,0,0
ACETYLCYSTEINE,OXYMETAZOLINE,0.053571429,0,0,0
ACETYLCYSTEINE,OXITRIPTAN,0.142857143,0,0,0
ACETYLCYSTEINE,PALONOSETRON,0.033333333,0,0,0
ACETYLCYSTEINE,PADIMATE O,0.115384615,0,0,0
ACETYLCYSTEINE,PANCURONIUM,0.107692308,0,0,0
ACETYLCYSTEINE,PARTHENOLIDE,0.050847458,0,0,0
ACETYLCYSTEINE,PEXIDARTINIB,0.029411765,0.071428571,0.133333333,0.133630621
ACETYLCYSTEINE,PHENINDAMINE,0.057692308,0.066666667,0.125,0.188982237
ACETYLCYSTEINE,PIMECROLIMUS,0.060606061,0,0,0
ACETYLCYSTEINE,PINDOLOL,0.090909091,0,0,0
ACETYLCYSTEINE,PILOCARPINE,0.055555556,0,0,0
ACETYLCYSTEINE,PIRENZEPINE,0.076923077,0,0,0
ACETYLCYSTEINE,PIRBUTEROL,0.1,0,0,0
ACETYLCYSTEINE,POTASSIUM CATION,0,0,0,0
ACETYLCYSTEINE,PRAMIPEXOLE,0.098039216,0,0,0
ACETYLCYSTEINE,PRILOCAINE,0.14893617,0,0,0
ACETYLCYSTEINE,PRIMAQUINE,0.066666667,0,0,0
ACETYLCYSTEINE,PROPYL ALCOHOL,0.115384615,0,0,0
ACETYLCYSTEINE,PREDNISOLONE PHOSPHATE,0.069444444,0.029411765,0.057142857,0.058321184
ACETYLCYSTEINE,PRAZIQUANTEL,0.06779661,0.055555556,0.105263158,0.119522861
ACETYLCYSTEINE,PSEUDOEPHEDRINE,0.131578947,0.025641026,0.05,0.052414242
ACETYLCYSTEINE,REPOTRECTINIB,0.027027027,0.035714286,0.068965517,0.069006556
ACETYLCYSTEINE,RIFAXIMIN,0.047169811,0,0,0
ACETYLCYSTEINE,RIMEXOLONE,0.075757576,0,0,0
ACETYLCYSTEINE,RITODRINE,0.108695652,0,0,0
ACETYLCYSTEINE,RAMELTEON,0.140350877,0,0,0
ACETYLCYSTEINE,SELENIUM SULFIDE,0,0,0,0
ACETYLCYSTEINE,SEMAGLUTIDE,0.078947368,0.052631579,0.1,0.109108945
ACETYLCYSTEINE,SETMELANOTIDE,0.168316832,0,0,0
ACETYLCYSTEINE,SITAGLIPTIN,0.092307692,0,0,0
ACETYLCYSTEINE,SODIUM LAURYL SULFOACETATE,0.113636364,0,0,0
ACETYLCYSTEINE,SUCCINYLCHOLINE,0.142857143,0,0,0
ACETYLCYSTEINE,TADALAFIL,0.041666667,0,0,0
ACETYLCYSTEINE,TIBOLONE,0.063492063,0.052631579,0.1,0.109108945
ACETYLCYSTEINE,TECHNETIUM TC-99M PYROPHOSPHATE,0.032258065,0,0,0
ACETYLCYSTEINE,TENOFOVIR DISOPROXIL,0.123076923,0.034482759,0.066666667,0.06681531
ACETYLCYSTEINE,TEMAZEPAM,0.089285714,0,0,0
ACETYLCYSTEINE,TESTOSTERONE UNDECANOATE,0.071428571,0.023255814,0.045454545,0.048795004
ACETYLCYSTEINE,THIOTEPA,0,0,0,0
ACETYLCYSTEINE,TIROFIBAN,0.171875,0,0,0
ACETYLCYSTEINE,TOLCAPONE,0.08,0,0,0
ACETYLCYSTEINE,TRIMIPRAMINE,0.06122449,0,0,0
ACETYLCYSTEINE,TROLEANDOMYCIN,0.073170732,0,0,0
ACETYLCYSTEINE,TYROPANOIC ACID,0.176470588,0,0,0
ACETYLCYSTEINE,VADADUSTAT,0.132075472,0.066666667,0.125,0.125988158
ACETYLCYSTEINE,VALACICLOVIR,0.096774194,0.043478261,0.083333333,0.084515425
ACETYLCYSTEINE,VALINE,0.24137931,0,0,0
ACETYLCYSTEINE,VINFLUNINE,0.0625,0.05,0.095238095,0.101015254
ACETYLCYSTEINE,VOCLOSPORIN,0.093023256,0,0,0
ACETYLCYSTEINE,XYLOSE,0.114285714,0,0,0
ACETYLCYSTEINE,ZINC SULFATE,0.037037037,0,0,0
ACETYLCYSTEINE,ZOTEPINE,0.051724138,0,0,0
ACETYLCYSTEINE,ZUCAPSAICIN,0.140350877,0,0,0
ALIMEMAZINE,ACETYLCARNITINE,0.075471698,0,0,0
ALIMEMAZINE,ACETYLCYSTEINE,0.083333333,0,0,0
ALIMEMAZINE,ALIMEMAZINE,1,1,1,1
ALIMEMAZINE,ALLANTOIN,0.018518519,0,0,0
ALIMEMAZINE,ALMASILATE,0.027027027,0,0,0
ALIMEMAZINE,ALUMINUM HYDROXIDE,0,0,0,0
ALIMEMAZINE,AMISULPRIDE,0.093333333,0,0,0
ALIMEMAZINE,AMPICILLIN,0.134328358,0,0,0
ALIMEMAZINE,ARMODAFINIL,0.14,0,0,0
ALIMEMAZINE,ARTEMOTIL,0.028985507,0,0,0
ALIMEMAZINE,ATOGEPANT,0.069306931,0,0,0
ALIMEMAZINE,ATORVASTATIN,0.135135135,0,0,0
ALIMEMAZINE,AVOBENZONE,0.113207547,0,0,0
ALIMEMAZINE,BENDAMUSTINE,0.101449275,0,0,0
ALIMEMAZINE,BETHANIDINE,0.1875,0,0,0
ALIMEMAZINE,BIOTIN,0.048387097,0,0,0
ALIMEMAZINE,BISPHENOL A DIGLYCIDYL ETHER,0.092592593,0,0,0
ALIMEMAZINE,BINIMETINIB,0.086419753,0,0,0
ALIMEMAZINE,BOSENTAN,0.098765432,0,0,0
ALIMEMAZINE,BREXANOLONE,0.015151515,0,0,0
ALIMEMAZINE,BRILLIANT BLUE G,0.090909091,0,0,0
ALIMEMAZINE,BROMAZEPAM,0.092307692,0,0,0
ALIMEMAZINE,BUTABARBITAL,0.102040816,0,0,0
ALIMEMAZINE,CABAZITAXEL,0.069565217,0,0,0
ALIMEMAZINE,CALCIUM LACTATE,0.1,0,0,0
ALIMEMAZINE,CARBAMAZEPINE,0.2,0,0,0
ALIMEMAZINE,CARBAMIDE PEROXIDE,0,0,0,0
ALIMEMAZINE,CARPROFEN,0.116666667,0,0,0
ALIMEMAZINE,CEFAZOLIN,0.08045977,0,0,0
ALIMEMAZINE,CEFMETAZOLE,0.065217391,0,0,0
